status,duration,credit_history,purpose,amount,savings,employment_duration,property,age,other_installment_plans,credit_risk
1,24,1,3,1546,1,4,3,24,1,0
2,48,3,6,6224,1,5,4,50,3,0
4,6,2,2,4611,1,2,2,32,3,0
2,45,4,3,4746,1,2,2,24,1,0
2,14,2,9,1410,3,5,1,35,3,1
2,24,2,3,5084,5,5,3,42,3,1
4,24,4,3,2223,2,5,2,52,1,1
3,36,2,3,5848,1,3,3,24,3,1
2,18,2,9,4439,1,5,1,33,1,1
2,15,2,0,2631,2,3,3,28,3,0
4,18,4,0,1028,1,3,1,36,3,1
2,24,2,0,1355,1,2,3,25,3,0
4,9,2,9,1449,1,4,3,27,3,1
4,24,4,3,2684,1,3,1,35,3,1
4,42,4,2,4041,3,3,1,36,3,1
4,18,2,1,3378,5,3,2,31,3,1
2,7,2,3,2415,1,3,1,34,3,1
1,21,2,3,1835,1,3,1,25,3,0
1,15,4,2,975,1,3,2,25,3,1
4,28,4,3,2743,1,5,3,29,3,1
4,18,1,0,6458,1,5,4,39,1,0
4,15,2,4,874,5,2,1,24,3,1
4,12,2,0,2390,5,5,3,50,3,1
2,36,2,6,3711,5,3,3,27,3,1
2,21,2,9,1188,1,5,2,39,3,0
1,12,2,2,1620,1,3,2,30,3,1
3,9,2,3,745,1,3,1,28,3,0
4,36,2,0,3079,5,3,1,36,3,1
4,12,4,6,3565,5,2,2,37,3,1
4,60,4,0,13756,5,5,4,63,1,1
4,6,4,3,1237,2,3,2,27,3,1
4,4,4,3,1503,1,4,1,42,3,1
2,36,3,0,8086,2,5,3,42,2,0
4,18,0,9,4165,1,3,3,36,2,0
1,10,4,0,1038,1,4,2,49,3,1
4,12,4,6,2012,5,4,3,61,3,1
1,24,2,3,2384,1,5,1,64,1,1
1,24,0,2,4110,1,5,4,23,1,0
1,48,2,1,10297,1,4,4,39,3,0
2,12,2,0,888,1,5,3,41,1,0
2,18,4,9,3590,1,1,3,40,3,1
2,30,3,9,2503,2,5,2,41,2,1
2,27,2,9,2528,1,2,2,32,3,1
2,12,2,0,2002,1,4,2,30,3,1
4,4,4,0,1455,1,4,1,42,3,1
1,48,2,0,3931,1,4,4,46,3,0
4,36,3,9,7980,5,2,3,27,3,0
4,18,2,0,6761,5,3,3,68,2,0
4,15,2,4,1262,3,4,2,36,3,1
1,24,4,0,1199,1,5,3,60,3,0
3,18,2,3,2100,1,3,1,37,3,0
1,21,2,0,3763,5,4,1,24,3,1
2,10,1,3,1048,1,3,1,23,2,1
2,12,2,3,1158,3,3,3,26,3,1
1,12,4,0,2121,1,3,2,30,3,1
2,10,2,0,7308,1,1,4,70,1,1
2,24,2,10,11328,1,3,3,29,1,0
4,24,2,1,7814,1,4,3,38,3,1
4,24,2,3,999,5,5,3,25,3,1
4,12,4,2,1935,1,5,1,43,3,1
4,24,4,3,1851,1,4,3,33,3,1
2,24,4,0,3878,2,2,3,37,3,1
3,18,2,2,3049,1,2,2,45,2,1
3,12,2,3,3016,1,3,3,24,3,1
2,6,1,6,433,4,2,2,24,1,0
2,36,2,6,2273,1,4,3,32,3,1
4,15,2,1,3812,2,2,3,23,3,1
4,30,1,1,7485,5,1,1,53,1,0
4,39,2,1,2569,3,3,3,24,3,1
1,12,2,2,708,1,3,2,38,3,1
4,12,2,3,3077,1,3,3,52,3,1
1,20,2,2,2212,5,4,3,39,3,1
4,18,2,2,3422,1,5,2,47,1,1
1,24,2,0,4817,1,4,2,31,3,0
4,9,2,2,1388,1,3,1,26,3,1
4,9,4,3,3074,5,3,1,33,3,1
3,21,4,6,2319,1,2,3,33,3,0
1,15,2,2,1845,1,2,2,46,3,1
2,12,4,0,2366,3,4,3,36,3,1
4,15,2,2,2221,3,3,3,20,3,1
3,6,4,6,1047,1,3,2,50,3,1
1,12,2,2,1289,1,3,2,21,3,1
1,12,2,3,727,2,2,4,33,3,0
4,12,4,6,701,1,3,3,32,3,1
2,6,2,3,368,5,5,2,38,3,1
3,12,2,2,1474,1,2,2,33,1,1
1,9,2,3,1364,1,4,1,59,3,1
1,36,2,3,2302,1,3,3,31,3,0
1,12,2,2,3590,1,3,2,29,3,1
2,18,2,3,3213,3,2,1,25,3,1
4,12,2,0,1386,3,3,2,26,3,0
4,30,4,3,5771,1,4,3,25,3,1
2,30,4,0,5234,1,1,3,28,3,0
1,18,4,0,3966,1,5,1,33,1,0
4,36,2,3,2394,5,3,3,25,3,1
4,18,4,0,2775,1,4,2,31,1,0
3,10,2,0,3949,1,2,2,37,3,1
1,30,2,2,3622,4,5,2,57,3,1
1,18,2,1,7511,5,5,2,51,3,0
1,24,1,2,6872,1,2,2,55,1,0
2,36,4,1,5800,1,3,3,34,3,1
4,48,2,3,10222,5,4,3,37,2,1
1,15,2,0,1721,1,2,1,36,3,1
4,48,4,9,7629,5,5,3,46,1,1
1,24,1,2,2483,3,3,1,22,2,1
2,60,2,6,6288,1,3,4,42,3,0
2,18,4,2,7374,1,1,2,40,2,1
2,12,2,2,983,4,2,1,19,3,1
2,42,1,1,9283,1,1,4,55,1,1
2,8,2,3,1414,1,3,1,33,3,1
2,12,2,8,754,5,5,2,38,3,1
2,18,0,2,3244,1,3,3,33,1,1
2,12,2,9,1037,2,4,1,39,3,1
4,48,3,3,7238,5,5,3,32,1,1
2,36,0,9,1953,1,5,4,61,3,0
2,12,2,3,1331,1,2,3,22,3,0
4,24,2,2,3062,3,5,4,32,3,1
2,6,3,0,1209,1,1,2,47,3,0
1,12,2,0,1893,1,3,2,29,3,1
4,36,4,1,5711,4,5,3,38,3,1
4,36,2,6,1819,1,3,4,37,2,0
2,15,0,0,1778,1,2,1,26,3,0
4,9,2,2,1980,1,2,3,19,3,0
3,6,2,2,2116,1,3,1,41,3,1
4,18,4,1,3229,5,1,4,38,3,1
3,15,4,1,2360,3,3,3,36,3,1
1,36,2,2,5179,1,4,2,29,3,0
2,18,2,1,2779,1,3,3,21,3,1
4,12,2,9,1542,1,4,3,36,3,1
1,21,4,0,571,1,5,1,65,3,1
3,12,2,0,1330,1,2,1,26,3,1
1,18,2,0,2249,2,4,3,30,3,1
4,18,2,2,2515,1,3,1,43,3,1
4,27,3,1,8613,4,3,3,27,3,1
1,45,2,3,1845,1,3,4,23,3,0
4,6,0,3,426,1,5,3,39,3,1
3,12,3,0,2247,1,3,3,36,2,1
2,24,4,10,11938,1,3,3,39,3,0
2,12,4,0,1995,2,2,3,27,3,1
1,12,2,0,1168,1,3,1,27,3,1
1,48,4,1,6331,1,5,4,46,3,0
2,18,2,3,866,1,3,1,25,3,1
4,24,2,2,5511,2,3,3,25,2,1
4,6,2,8,1238,5,1,2,36,3,1
1,36,2,10,15857,1,1,3,43,3,1
4,48,1,9,3609,1,3,1,27,2,1
4,9,2,0,2507,3,5,4,51,3,1
4,12,2,1,4675,5,2,3,20,3,1
2,60,2,0,7408,2,2,2,24,3,0
4,15,2,6,4623,2,3,2,40,3,0
2,11,4,0,1322,4,3,3,40,3,1
1,18,4,2,1049,1,2,2,21,3,1
1,9,2,3,1366,1,2,2,22,3,0
1,6,4,0,609,1,4,2,37,3,1
4,30,3,9,4272,2,3,2,26,3,1
1,48,2,3,6758,1,3,3,31,3,0
4,15,3,1,3594,1,2,2,46,3,1
2,60,3,3,9157,5,3,4,27,3,1
1,24,2,1,2924,1,3,4,63,1,1
2,48,2,3,3060,1,4,1,28,3,0
4,24,4,5,5507,1,5,4,44,3,1
1,12,2,3,701,1,3,1,40,3,1
3,30,3,9,1908,1,5,1,66,3,0
2,21,2,2,3976,5,4,3,35,3,1
4,24,2,0,1525,4,4,3,34,3,1
1,24,4,9,1382,2,4,1,26,3,1
1,9,4,0,2799,1,3,1,36,3,1
4,18,2,2,1533,1,2,2,43,3,0
2,21,4,2,2745,4,4,3,32,3,1
3,21,2,0,2923,2,3,3,28,1,1
4,12,4,3,930,5,5,1,65,3,1
1,21,2,2,3599,1,4,3,26,3,1
1,18,4,2,2124,1,3,1,24,3,0
4,18,2,3,1126,5,2,1,21,3,1
4,24,2,3,1533,1,2,3,38,2,1
2,12,2,3,1534,1,2,1,23,3,0
1,24,4,1,2957,1,5,2,63,3,1
1,42,2,3,3965,1,2,3,34,3,0
2,18,4,0,884,1,5,3,36,3,0
4,36,2,0,909,3,5,2,36,3,1
2,18,4,2,1928,1,2,1,31,3,0
4,10,4,0,1231,1,5,1,32,3,1
4,27,3,9,5117,1,4,3,26,3,1
4,9,2,3,2753,2,5,3,35,3,1
1,24,2,0,915,5,5,3,29,1,0
2,20,2,1,6468,5,1,1,60,3,1
1,30,4,1,6187,2,4,3,24,3,1
2,12,0,2,2969,1,2,2,25,3,0
1,48,2,1,4788,1,4,2,26,3,1
4,30,4,3,3077,5,5,3,40,3,1
2,24,2,3,2039,1,2,2,22,3,0
4,21,2,9,1572,4,5,1,36,1,1
4,6,4,0,250,4,3,1,41,1,1
1,18,1,3,1940,1,2,4,36,1,1
4,15,2,2,2186,5,4,1,33,1,1
4,12,2,2,1768,1,3,1,24,3,1
4,15,4,3,1316,3,3,2,47,3,1
4,24,4,1,4042,5,4,2,43,3,1
2,18,4,0,1056,1,5,1,30,3,0
4,24,2,2,929,5,4,3,31,2,1
2,48,2,0,6560,2,4,2,24,3,0
2,18,2,9,1941,4,3,2,35,3,1
4,36,2,9,5742,2,4,3,31,3,1
1,18,2,3,2600,1,3,4,65,3,0
2,15,3,5,1512,4,3,2,61,2,0
4,48,4,1,8858,5,4,4,35,3,1
4,12,4,2,1592,4,4,2,35,3,1
3,10,2,2,1275,1,2,2,23,3,1
2,18,3,0,2899,5,5,3,43,3,1
4,24,2,9,4591,4,3,2,54,3,0
2,30,2,3,1715,5,3,3,26,3,1
2,12,4,1,1860,1,1,3,34,3,1
2,9,2,2,2030,5,4,3,24,3,1
4,6,4,3,1898,5,3,1,34,3,1
2,48,3,9,6681,5,3,4,38,3,1
4,24,4,5,2058,1,3,1,33,3,1
4,21,2,3,3160,5,5,2,41,3,1
1,18,2,4,1217,1,3,1,47,3,0
2,16,4,0,1175,1,1,3,68,3,1
2,24,2,0,3512,2,4,3,38,1,1
2,30,4,2,8386,1,4,2,49,3,0
4,24,3,9,2375,3,3,3,44,3,1
4,15,2,3,1979,5,5,3,35,3,1
1,12,4,0,2122,1,3,1,39,3,1
2,48,2,10,5381,5,1,4,40,1,1
4,12,4,9,2292,1,1,3,42,2,0
2,12,2,3,1092,1,3,1,49,3,1
4,10,2,0,1418,2,3,1,35,3,1
4,18,3,9,2169,1,3,3,28,3,0
4,15,2,1,4657,1,3,3,30,3,1
1,30,2,2,2406,1,4,1,23,3,0
2,36,3,0,2225,1,5,4,57,1,0
4,21,2,1,2476,5,5,1,46,3,1
1,13,4,9,1797,1,2,2,28,1,1
4,30,4,3,4530,1,4,3,26,3,1
1,12,2,2,1657,1,3,1,27,3,1
1,48,2,4,3051,1,3,3,54,3,0
1,12,2,0,1274,1,2,1,37,1,0
2,9,2,3,1082,1,5,3,37,3,1
4,12,2,6,1393,1,5,2,47,1,1
1,24,2,2,2359,2,1,2,33,3,0
4,24,2,3,3105,5,2,3,25,3,1
4,12,4,3,1291,1,3,2,35,3,1
1,6,2,3,2647,3,3,1,44,3,1
1,6,2,0,14896,1,5,4,68,1,0
4,36,2,3,3835,5,5,1,45,3,1
4,24,4,3,2872,2,5,1,36,3,1
1,12,0,0,1082,1,3,3,48,1,0
1,24,2,3,1823,1,1,3,30,2,0
4,12,2,3,2141,2,4,4,35,3,1
2,12,2,0,836,2,2,2,23,1,0
2,24,4,3,1216,2,2,4,38,1,0
4,24,2,3,2397,3,5,3,35,1,0
4,12,2,6,719,1,5,3,41,1,0
2,18,4,3,1245,1,3,3,33,3,0
2,12,2,3,1155,1,5,1,40,1,1
4,24,2,0,2255,5,2,2,54,3,1
4,12,2,3,776,1,3,1,28,3,1
2,12,2,0,1223,1,5,1,46,3,0
4,12,2,9,1076,1,3,1,26,3,1
4,48,4,0,10127,3,3,4,44,3,0
4,10,2,0,1364,1,3,3,64,3,1
4,18,2,2,1984,1,3,4,47,1,1
2,9,2,3,458,1,3,1,24,3,1
4,7,3,3,846,5,5,4,36,3,1
2,72,2,3,5595,2,3,3,24,3,0
2,9,2,0,3195,5,3,1,33,3,1
2,8,2,2,1237,1,3,1,24,3,0
4,10,4,2,2069,5,3,3,26,3,1
4,24,2,3,1552,1,4,3,32,1,1
3,6,4,0,1299,1,3,1,74,3,1
1,24,2,3,1987,1,3,1,21,3,0
3,9,0,3,1337,1,2,3,34,3,0
4,12,4,3,1655,1,5,1,63,3,1
1,48,2,6,7476,1,4,4,50,3,1
2,48,2,2,9960,1,2,3,26,1,0
1,6,2,0,1374,5,1,2,75,3,1
4,12,2,2,1574,1,3,1,50,3,1
2,6,3,9,1449,2,5,3,31,1,1
1,24,2,2,4020,1,3,3,27,2,1
4,36,2,1,8133,1,3,2,30,1,1
4,12,2,3,3059,4,4,1,61,3,1
1,24,2,2,3149,1,2,4,22,1,1
2,36,2,3,2323,1,4,3,24,3,1
3,42,4,1,4796,1,5,4,56,3,1
2,48,2,3,10961,4,4,4,27,1,0
2,18,3,9,2427,5,5,2,42,3,1
4,4,2,2,601,1,2,1,23,3,1
4,48,4,6,6110,1,3,4,31,1,1
3,10,4,3,1347,5,4,2,27,3,1
4,6,1,3,1750,3,5,2,45,1,1
2,48,0,9,3844,2,4,4,34,3,0
4,12,4,3,717,1,5,1,52,3,1
3,12,1,9,609,1,2,1,26,1,0
2,48,1,9,6416,1,5,4,59,3,0
4,24,3,9,8648,1,2,3,27,1,0
4,15,4,3,1459,1,3,3,43,3,1
2,36,2,1,6948,1,3,3,35,3,1
1,12,2,2,1282,1,3,3,20,3,0
1,10,4,2,2132,5,2,1,27,3,1
4,36,4,9,6304,5,5,1,36,3,1
2,24,2,0,1201,1,2,2,26,3,1
4,36,4,3,3342,5,5,3,51,3,1
2,24,2,2,4057,1,4,3,43,3,0
4,18,4,2,3780,1,2,3,35,3,1
1,36,2,6,1977,5,5,4,40,3,0
1,12,2,2,1858,1,2,3,22,3,1
4,24,2,0,3757,1,5,4,62,3,1
2,12,2,3,2930,1,4,1,27,3,1
3,36,2,3,4210,1,3,3,26,3,0
1,15,2,0,2511,1,1,3,23,3,1
1,12,0,5,1108,1,4,1,28,3,0
2,15,1,0,6850,2,1,2,34,2,0
1,6,4,2,3384,1,3,1,44,3,0
1,24,2,3,2439,1,2,1,35,3,0
1,24,1,0,2325,2,4,3,32,1,1
1,12,1,3,626,1,3,1,24,1,0
4,24,4,1,6842,5,3,2,46,3,1
4,13,2,3,1409,2,1,1,64,3,1
2,36,3,9,9857,2,4,2,31,3,1
4,9,4,0,1224,1,3,1,30,3,1
1,24,4,1,6615,1,1,4,75,3,1
2,18,2,2,1924,5,2,1,27,3,0
1,36,4,6,8065,1,3,4,25,3,0
4,15,1,3,1569,2,5,3,34,1,1
1,6,2,0,1203,2,5,2,43,3,1
2,15,4,3,1537,5,5,1,50,3,1
4,18,4,6,1864,2,3,1,30,3,0
4,24,4,1,3868,1,5,3,41,3,1
4,6,2,5,660,3,4,1,23,3,1
1,10,2,3,2315,1,5,1,52,3,1
2,27,3,1,5965,1,5,3,30,3,1
1,24,1,1,3632,1,3,3,22,1,1
4,6,2,0,672,1,1,1,54,3,1
4,18,4,3,6070,1,5,3,33,3,1
4,27,2,0,2570,1,3,1,21,3,0
4,18,4,3,1169,5,3,2,29,3,1
1,12,4,0,691,1,5,2,35,3,0
4,24,4,0,1940,4,5,1,60,3,1
4,9,4,2,2406,1,1,3,31,3,1
2,27,2,9,3915,1,3,3,36,3,0
2,12,2,3,1567,1,3,3,22,3,1
3,30,4,3,3656,5,5,2,49,2,1
2,24,2,1,12579,1,5,4,44,3,0
1,27,4,9,2442,1,5,3,43,2,1
4,15,2,0,3186,4,4,3,20,3,1
2,12,2,0,7472,5,1,1,24,3,1
4,24,3,1,4679,1,4,3,35,3,1
4,60,2,3,10144,2,4,1,21,3,1
1,36,3,9,2145,1,4,3,24,3,0
1,15,2,0,1403,1,3,3,28,3,1
4,60,3,3,15653,1,4,3,21,3,1
1,18,2,0,976,1,2,3,23,3,0
4,15,4,1,3368,4,5,4,23,3,1
4,24,4,2,1585,1,4,2,40,3,1
4,24,2,1,2603,4,3,3,28,3,1
1,6,4,2,1872,1,1,4,36,3,1
1,6,2,6,448,1,2,2,23,3,0
4,9,2,0,3577,2,3,1,26,3,1
2,15,4,3,2728,5,4,1,35,1,1
1,9,4,3,1138,1,3,1,25,3,1
1,28,2,0,4006,1,3,3,45,3,0
2,6,2,3,484,1,4,1,28,1,1
3,10,2,0,1240,2,5,4,48,3,0
4,12,2,3,1262,1,3,3,25,3,1
2,12,2,2,3017,1,2,1,34,3,1
4,12,2,0,2133,5,5,4,52,3,1
2,9,2,0,1549,5,2,1,35,3,1
2,21,3,0,2353,1,3,2,47,3,1
4,24,4,3,2611,1,5,1,46,3,1
2,18,2,9,1913,4,2,1,36,1,1
4,12,3,5,1555,4,5,4,55,3,0
4,12,4,2,5801,5,5,2,49,3,1
4,18,4,3,629,3,5,2,32,1,1
2,11,3,3,4771,1,4,2,51,3,1
2,8,2,3,760,1,4,1,44,3,1
1,18,2,2,2462,1,3,3,22,3,0
1,18,0,9,3104,1,4,2,31,1,1
4,18,2,5,1943,1,2,1,23,3,0
2,48,2,9,15672,1,3,3,23,3,0
2,12,2,3,625,1,2,1,26,1,1
4,18,2,0,1820,1,3,2,30,3,1
2,12,2,0,1007,4,3,1,22,3,1
1,6,1,6,1198,1,5,4,35,3,0
2,24,2,3,3758,3,1,4,23,3,1
1,11,4,0,3905,1,3,1,36,3,1
4,36,2,1,4686,1,3,4,32,3,1
1,18,1,0,1442,1,4,4,32,1,0
2,24,4,9,2825,5,4,4,34,3,1
1,48,2,3,6999,1,4,1,34,3,0
4,24,4,0,2022,1,3,3,37,3,1
2,30,0,9,4280,2,3,3,26,3,0
4,36,4,3,9566,1,3,3,31,2,1
1,6,2,4,343,1,2,1,27,3,1
2,30,0,9,4221,1,3,3,28,3,1
1,18,1,2,1553,1,3,3,44,1,0
2,27,0,9,8318,1,5,4,42,2,0
2,36,3,0,7432,1,3,2,54,3,1
2,6,3,2,1050,1,1,2,35,2,1
4,18,2,3,4594,1,2,3,32,3,1
2,36,2,6,12612,2,3,4,47,3,0
4,36,3,9,9572,1,2,3,28,3,0
3,24,2,0,947,1,4,4,38,1,0
3,15,2,6,392,1,2,2,23,3,1
2,36,2,1,9398,1,2,3,28,3,0
2,39,3,6,11760,2,4,4,32,3,1
4,48,2,9,4844,1,1,3,33,3,0
2,54,0,9,15945,1,2,4,58,3,0
1,14,2,0,3973,1,1,4,22,3,1
2,24,2,3,3092,2,2,3,22,3,0
4,24,2,3,1376,3,4,3,28,3,1
1,18,2,0,4380,2,3,3,35,3,1
1,6,4,0,4716,5,2,1,44,3,1
4,24,2,3,1413,1,3,2,28,3,1
1,36,2,2,2712,1,5,2,41,1,0
2,18,2,0,5866,2,3,3,30,3,1
2,48,1,0,12169,5,1,4,36,3,1
4,6,4,3,1554,1,4,3,24,3,1
4,18,4,3,1149,4,3,1,46,3,1
3,6,2,0,709,4,2,1,27,3,1
4,48,2,9,3914,5,3,1,38,1,0
4,18,4,3,1582,4,5,3,46,3,1
1,18,2,3,1936,5,4,3,23,3,1
3,24,4,9,1275,4,3,1,36,3,1
4,6,2,2,2978,3,3,3,32,3,1
4,6,2,6,1538,1,2,4,56,3,1
1,27,0,9,5293,1,1,2,50,3,0
2,9,4,2,1919,1,4,3,35,3,1
4,6,2,3,2108,1,4,1,29,3,1
4,42,2,3,7166,5,4,2,29,3,1
4,15,2,0,3556,5,3,4,29,3,1
2,24,4,9,1935,1,5,1,31,3,0
2,60,3,3,7418,5,3,1,27,3,1
4,10,2,1,2848,2,3,1,32,3,1
1,24,1,2,3349,3,2,4,30,3,0
2,9,2,9,1391,1,3,1,27,1,1
2,30,4,0,2181,5,5,1,36,3,1
4,15,2,0,5324,3,5,4,35,3,1
4,18,4,3,2404,1,3,3,26,3,1
1,15,4,2,1433,1,3,2,25,3,1
1,18,2,3,2389,1,2,3,27,2,1
2,30,2,3,2991,5,5,3,25,3,1
4,24,2,1,9277,5,3,4,48,3,1
4,6,4,2,1221,5,3,2,27,3,1
4,11,4,3,1154,2,1,1,57,3,1
4,21,4,0,12680,5,5,4,30,3,0
2,18,0,0,2278,2,2,3,28,3,0
2,36,0,3,3804,1,3,3,42,3,0
1,12,2,4,741,2,1,2,22,3,0
1,18,2,2,2659,4,3,3,28,3,1
1,12,0,3,6199,1,3,2,28,3,0
1,36,2,1,8229,1,3,2,26,3,0
1,30,4,1,10623,1,5,4,38,3,1
